onset	duration	frameidx	videotime	audiotime
0.041	0.033	1	0.040	3.035
0.075	0.017	2	0.080	3.076
0.091	0.033	3	0.120	3.092
0.125	0.167	4	0.160	3.126
0.291	0.042	5	0.200	0.141
0.333	0.050	6	0.240	0.183
0.383	0.050	7	0.280	0.233
0.433	0.025	8	0.320	0.283
0.458	0.050	9	0.360	0.308
0.508	0.050	10	0.400	0.358
0.558	0.025	11	0.440	0.408
0.583	0.050	12	0.480	0.433
0.633	0.050	13	0.520	0.483
0.683	0.025	14	0.560	0.533
0.708	0.050	15	0.600	0.558
0.758	0.025	16	0.640	0.985
0.783	0.050	17	0.680	1.010
0.833	0.050	18	0.720	1.060
0.883	0.025	19	0.760	1.110
0.908	0.050	20	0.800	1.135
0.958	0.025	21	0.840	1.185
0.983	0.050	22	0.880	1.210
1.033	0.050	23	0.920	1.260
1.083	0.025	24	0.960	1.318
1.108	0.050	25	1.000	1.343
1.158	0.025	26	1.040	1.393
1.183	0.050	27	1.080	1.418
1.233	0.050	28	1.120	1.468
1.283	0.025	29	1.160	1.518
1.308	0.050	30	1.200	1.543
1.358	0.025	31	1.240	1.601
1.383	0.050	32	1.280	1.626
1.433	0.050	33	1.320	1.676
1.483	0.025	34	1.360	1.726
1.508	0.050	35	1.400	1.751
1.558	0.025	36	1.440	1.801
1.583	0.050	37	1.480	1.826
1.633	0.050	38	1.520	1.876
1.683	0.025	39	1.560	1.847
1.708	0.050	40	1.600	1.872
1.758	0.025	41	1.640	1.922
1.783	0.050	42	1.680	1.947
1.833	0.050	43	1.720	1.997
1.883	0.025	44	1.760	2.047
1.908	0.050	45	1.800	2.072
1.958	0.025	46	1.840	2.122
1.983	0.050	47	1.880	2.147
2.033	0.050	48	1.920	2.197
2.083	0.025	49	1.960	2.247
2.108	0.050	50	2.000	2.272
2.158	0.025	51	2.040	2.322
2.183	0.050	52	2.080	2.347
2.233	0.050	53	2.120	2.397
2.283	0.025	54	2.160	2.447
2.308	0.050	55	2.200	2.535
2.358	0.025	56	2.240	2.585
2.383	0.050	57	2.280	2.610
2.433	0.050	58	2.320	2.660
2.483	0.025	59	2.360	2.710
2.508	0.050	60	2.400	2.735
2.558	0.025	61	2.440	2.785
2.583	0.050	62	2.480	2.810
2.633	0.050	63	2.520	2.868
2.683	0.025	64	2.560	2.918
2.708	0.050	65	2.600	2.943
2.758	0.025	66	2.640	2.993
2.783	0.050	67	2.680	3.018
2.833	0.050	68	2.720	3.068
2.883	0.025	69	2.760	3.118
2.908	0.050	70	2.800	3.143
2.958	0.025	71	2.840	3.201
2.984	0.050	72	2.880	3.227
3.034	0.050	73	2.920	3.276
3.083	0.025	74	2.960	3.326
3.109	0.050	75	3.000	3.352
3.159	0.025	76	3.040	3.401
3.184	0.050	77	3.080	3.427
3.234	0.050	78	3.120	3.398
3.284	0.025	79	3.160	3.448
3.309	0.050	80	3.200	3.473
3.359	0.025	81	3.240	3.523
3.383	0.050	82	3.280	3.548
3.434	0.050	83	3.320	3.598
3.484	0.025	84	3.360	3.648
3.509	0.050	85	3.400	3.673
3.559	0.025	86	3.440	3.723
3.584	0.050	87	3.480	3.748
3.634	0.050	88	3.520	3.798
3.684	0.025	89	3.560	3.848
3.709	0.050	90	3.600	3.873
3.759	0.025	91	3.640	3.923
3.784	0.050	92	3.680	3.948
3.834	0.050	93	3.720	3.998
3.884	0.025	94	3.760	4.111
3.909	0.050	95	3.800	4.136
3.959	0.025	96	3.840	4.186
3.984	0.050	97	3.880	4.211
4.034	0.050	98	3.920	4.261
4.084	0.025	99	3.960	4.311
4.109	0.050	100	4.000	4.336
4.159	0.025	101	4.040	4.386
4.184	0.050	102	4.080	4.419
4.234	0.050	103	4.120	4.469
4.284	0.025	104	4.160	4.519
4.309	0.050	105	4.200	4.544
4.359	0.025	106	4.240	4.594
4.384	0.050	107	4.280	4.619
4.434	0.050	108	4.320	4.669
4.484	0.025	109	4.360	4.727
4.509	0.050	110	4.400	4.752
4.559	0.025	111	4.440	4.802
4.584	0.050	112	4.480	4.827
4.634	0.050	113	4.520	4.877
4.684	0.025	114	4.560	4.927
4.709	0.050	115	4.600	4.952
4.759	0.025	116	4.640	5.002
4.784	0.050	117	4.680	5.027
4.834	0.050	118	4.720	4.998
4.884	0.025	119	4.760	5.048
4.909	0.050	120	4.800	5.073
4.959	0.025	121	4.840	5.123
4.984	0.050	122	4.880	5.148
5.034	0.050	123	4.920	5.198
5.084	0.025	124	4.960	5.248
5.109	0.050	125	5.000	5.273
5.159	0.025	126	5.040	5.323
5.184	0.050	127	5.080	5.348
5.234	0.050	128	5.120	5.398
5.284	0.025	129	5.160	5.448
5.309	0.050	130	5.200	5.473
5.359	0.025	131	5.240	5.523
5.384	0.050	132	5.280	5.548
5.434	0.050	133	5.320	5.661
5.484	0.025	134	5.360	5.711
5.509	0.050	135	5.400	5.736
5.559	0.025	136	5.440	5.786
5.584	0.050	137	5.480	5.811
5.634	0.050	138	5.520	5.861
5.684	0.025	139	5.560	5.911
5.709	0.050	140	5.600	5.936
5.759	0.025	141	5.640	5.994
5.784	0.050	142	5.680	6.019
5.834	0.050	143	5.720	6.069
5.884	0.025	144	5.760	6.119
5.909	0.050	145	5.800	6.144
5.959	0.025	146	5.840	6.194
5.984	0.050	147	5.880	6.219
6.034	0.050	148	5.920	6.269
6.084	0.025	149	5.960	6.367
6.109	0.050	150	6.000	6.392
6.159	0.025	151	6.040	6.442
6.184	0.050	152	6.080	6.467
6.234	0.050	153	6.120	6.517
6.284	0.025	154	6.160	6.567
6.309	0.050	155	6.200	6.592
6.359	0.025	156	6.240	6.523
6.384	0.050	157	6.280	6.548
6.434	0.050	158	6.320	6.598
6.484	0.025	159	6.360	6.648
6.509	0.050	160	6.400	6.673
6.559	0.025	161	6.440	6.723
6.584	0.050	162	6.480	6.748
6.634	0.050	163	6.520	6.798
6.684	0.025	164	6.560	6.848
6.709	0.050	165	6.600	6.873
6.759	0.025	166	6.640	6.923
6.784	0.050	167	6.680	6.948
6.834	0.050	168	6.720	6.998
6.884	0.025	169	6.760	7.048
6.909	0.050	170	6.800	7.073
6.959	0.025	171	6.840	7.123
6.984	0.050	172	6.880	7.251
7.034	0.050	173	6.920	7.301
7.084	0.025	174	6.960	7.351
7.109	0.050	175	7.000	7.376
7.159	0.025	176	7.040	7.426
7.184	0.050	177	7.080	7.451
7.234	0.050	178	7.120	7.501
7.284	0.025	179	7.160	7.551
7.309	0.050	180	7.200	7.544
7.359	0.025	181	7.240	7.594
7.384	0.050	182	7.280	7.619
7.434	0.050	183	7.320	7.669
7.484	0.025	184	7.360	7.719
7.509	0.050	185	7.400	7.744
7.559	0.025	186	7.440	7.794
7.584	0.050	187	7.480	7.819
7.634	0.050	188	7.520	7.837
7.684	0.025	189	7.560	7.887
7.709	0.050	190	7.600	7.912
7.759	0.025	191	7.640	7.962
7.784	0.050	192	7.680	7.987
7.834	0.050	193	7.720	8.037
7.885	0.025	194	7.760	8.087
7.909	0.050	195	7.800	8.074
7.959	0.025	196	7.840	8.123
7.985	0.050	197	7.880	8.149
8.034	0.050	198	7.920	8.198
8.084	0.025	199	7.960	8.248
8.110	0.050	200	8.000	8.274
8.159	0.025	201	8.040	8.324
8.185	0.050	202	8.080	8.349
8.235	0.050	203	8.120	8.399
8.284	0.025	204	8.160	8.449
8.310	0.050	205	8.200	8.474
8.360	0.025	206	8.240	8.524
8.385	0.050	207	8.280	8.549
8.435	0.050	208	8.320	8.599
8.485	0.025	209	8.360	8.649
8.510	0.050	210	8.400	8.674
8.560	0.025	211	8.440	8.787
8.585	0.050	212	8.480	8.812
8.635	0.050	213	8.520	8.862
8.685	0.025	214	8.560	8.912
8.710	0.050	215	8.600	8.937
8.760	0.025	216	8.640	8.987
8.785	0.050	217	8.680	9.012
8.835	0.050	218	8.720	9.062
8.885	0.025	219	8.760	9.160
8.910	0.050	220	8.800	9.185
8.960	0.025	221	8.840	9.235
8.985	0.050	222	8.880	9.260
9.035	0.050	223	8.920	9.310
9.085	0.025	224	8.960	9.360
9.110	0.050	225	9.000	9.385
9.160	0.025	226	9.040	9.443
9.185	0.050	227	9.080	9.468
9.235	0.050	228	9.120	9.518
9.285	0.025	229	9.160	9.568
9.310	0.050	230	9.200	9.593
9.360	0.025	231	9.240	9.643
9.385	0.050	232	9.280	9.668
9.435	0.050	233	9.320	9.718
9.485	0.025	234	9.360	9.649
9.510	0.050	235	9.400	9.674
9.560	0.025	236	9.440	9.724
9.585	0.050	237	9.480	9.749
9.635	0.050	238	9.520	9.799
9.685	0.025	239	9.560	9.849
9.710	0.050	240	9.600	9.874
9.760	0.025	241	9.640	9.924
9.785	0.050	242	9.680	9.949
9.835	0.050	243	9.720	9.999
9.885	0.025	244	9.760	10.049
9.910	0.050	245	9.800	10.074
9.960	0.025	246	9.840	10.124
9.985	0.050	247	9.880	10.149
10.035	0.050	248	9.920	10.199
10.085	0.025	249	9.960	10.249
10.110	0.050	250	10.000	10.337
10.160	0.025	251	10.040	10.387
10.185	0.050	252	10.080	10.412
10.235	0.050	253	10.120	10.462
10.285	0.025	254	10.160	10.512
10.310	0.050	255	10.200	10.537
10.360	0.025	256	10.240	10.587
10.385	0.050	257	10.280	10.612
10.435	0.050	258	10.320	10.630
10.485	0.025	259	10.360	10.680
10.510	0.050	260	10.400	10.705
10.560	0.025	261	10.440	10.755
10.585	0.050	262	10.480	10.780
10.635	0.050	263	10.520	10.830
10.685	0.025	264	10.560	10.880
10.710	0.050	265	10.600	10.905
10.760	0.025	266	10.640	11.003
10.785	0.050	267	10.680	11.028
10.835	0.050	268	10.720	11.078
10.885	0.025	269	10.760	11.128
10.910	0.050	270	10.800	11.153
10.960	0.025	271	10.840	11.203
10.985	0.050	272	10.880	11.228
11.035	0.050	273	10.920	11.199
11.085	0.025	274	10.960	11.249
11.110	0.050	275	11.000	11.274
11.160	0.025	276	11.040	11.324
11.185	0.050	277	11.080	11.349
11.235	0.050	278	11.120	11.399
11.285	0.025	279	11.160	11.449
11.310	0.050	280	11.200	11.474
11.360	0.025	281	11.240	11.524
11.385	0.050	282	11.280	11.549
11.435	0.050	283	11.320	11.599
11.485	0.025	284	11.360	11.649
11.510	0.050	285	11.400	11.674
11.560	0.025	286	11.440	11.724
11.585	0.050	287	11.480	11.749
11.635	0.050	288	11.520	11.799
11.685	0.025	289	11.560	11.952
11.710	0.050	290	11.600	11.977
11.760	0.025	291	11.640	12.027
11.785	0.050	292	11.680	12.052
11.835	0.050	293	11.720	12.102
11.885	0.025	294	11.760	12.152
11.910	0.050	295	11.800	12.177
11.960	0.025	296	11.840	12.227
11.985	0.050	297	11.880	12.220
12.035	0.050	298	11.920	12.270
12.085	0.025	299	11.960	12.320
12.110	0.050	300	12.000	12.345
12.160	0.025	301	12.040	12.395
12.185	0.050	302	12.080	12.420
12.235	0.050	303	12.120	12.470
12.285	0.025	304	12.160	12.488
12.310	0.050	305	12.200	12.513
12.360	0.025	306	12.240	12.563
12.385	0.050	307	12.280	12.588
12.435	0.050	308	12.320	12.638
12.485	0.025	309	12.360	12.688
12.510	0.050	310	12.400	12.713
12.560	0.025	311	12.440	12.763
12.585	0.050	312	12.480	12.788
12.635	0.050	313	12.520	12.799
12.685	0.025	314	12.560	12.849
12.710	0.050	315	12.600	12.874
12.760	0.025	316	12.640	12.924
12.785	0.050	317	12.680	12.949
12.836	0.050	318	12.720	12.999
12.886	0.025	319	12.760	13.049
12.910	0.050	320	12.800	13.075
12.961	0.025	321	12.840	13.124
12.985	0.050	322	12.880	13.150
13.035	0.050	323	12.920	13.199
