onset	duration	frameidx	videotime	audiotime
0.025	0.042	1	0.040	10.202
0.066	0.042	2	0.080	10.235
0.108	0.050	3	0.120	10.277
0.158	0.150	4	0.160	10.327
0.308	0.050	5	0.200	0.150
0.358	0.050	6	0.240	0.200
0.408	0.025	7	0.280	0.250
0.433	0.050	8	0.320	0.275
0.483	0.050	9	0.360	0.325
0.533	0.025	10	0.400	0.375
0.558	0.050	11	0.440	0.400
0.608	0.025	12	0.480	0.450
0.633	0.050	13	0.520	0.475
0.683	0.050	14	0.560	0.525
0.733	0.025	15	0.600	0.575
0.758	0.050	16	0.640	0.967
0.808	0.025	17	0.680	1.017
0.833	0.050	18	0.720	1.042
0.883	0.050	19	0.760	1.092
0.933	0.025	20	0.800	1.142
0.958	0.050	21	0.840	1.167
1.008	0.025	22	0.880	1.217
1.033	0.050	23	0.920	1.242
1.083	0.050	24	0.960	1.260
1.133	0.025	25	1.000	1.310
1.158	0.050	26	1.040	1.335
1.208	0.025	27	1.080	1.385
1.233	0.050	28	1.120	1.410
1.283	0.050	29	1.160	1.460
1.333	0.025	30	1.200	1.510
1.359	0.050	31	1.240	1.535
1.408	0.025	32	1.280	1.553
1.434	0.050	33	1.320	1.578
1.484	0.050	34	1.360	1.628
1.533	0.025	35	1.400	1.678
1.559	0.050	36	1.440	1.703
1.609	0.025	37	1.480	1.753
1.633	0.050	38	1.520	1.778
1.684	0.050	39	1.560	1.828
1.734	0.025	40	1.600	1.879
1.758	0.050	41	1.640	1.904
1.809	0.025	42	1.680	1.954
1.833	0.050	43	1.720	1.979
1.884	0.050	44	1.760	2.029
1.934	0.025	45	1.800	2.079
1.959	0.050	46	1.840	2.104
2.009	0.025	47	1.880	2.154
2.034	0.050	48	1.920	2.179
2.084	0.050	49	1.960	2.229
2.134	0.025	50	2.000	2.279
2.159	0.050	51	2.040	2.304
2.209	0.025	52	2.080	2.354
2.234	0.050	53	2.120	2.379
2.284	0.050	54	2.160	2.429
2.334	0.025	55	2.200	2.622
2.359	0.050	56	2.240	2.647
2.409	0.025	57	2.280	2.697
2.434	0.050	58	2.320	2.722
2.484	0.050	59	2.360	2.772
2.534	0.025	60	2.400	2.822
2.559	0.050	61	2.440	2.847
2.609	0.025	62	2.480	2.897
2.634	0.050	63	2.520	2.890
2.684	0.050	64	2.560	2.940
2.734	0.025	65	2.600	2.990
2.759	0.050	66	2.640	3.015
2.809	0.025	67	2.680	3.065
2.834	0.050	68	2.720	3.090
2.884	0.050	69	2.760	3.140
2.934	0.025	70	2.800	3.160
2.959	0.050	71	2.840	3.185
3.009	0.025	72	2.880	3.235
3.034	0.050	73	2.920	3.260
3.084	0.050	74	2.960	3.310
3.134	0.025	75	3.000	3.360
3.159	0.050	76	3.040	3.385
3.209	0.025	77	3.080	3.435
3.234	0.050	78	3.120	3.460
3.284	0.050	79	3.160	3.429
3.334	0.025	80	3.200	3.479
3.359	0.050	81	3.240	3.505
3.409	0.025	82	3.280	3.555
3.434	0.050	83	3.320	3.580
3.484	0.050	84	3.360	3.630
3.534	0.025	85	3.400	3.680
3.559	0.050	86	3.440	3.705
3.609	0.025	87	3.480	3.755
3.634	0.050	88	3.520	3.780
3.684	0.050	89	3.560	3.830
3.734	0.025	90	3.600	3.880
3.759	0.050	91	3.640	3.905
3.809	0.025	92	3.680	3.955
3.834	0.050	93	3.720	3.980
3.884	0.050	94	3.760	4.053
3.934	0.025	95	3.800	4.103
3.959	0.050	96	3.840	4.128
4.009	0.025	97	3.880	4.178
4.034	0.050	98	3.920	4.203
4.084	0.050	99	3.960	4.253
4.134	0.025	100	4.000	4.303
4.159	0.050	101	4.040	4.328
4.209	0.025	102	4.080	4.346
4.234	0.050	103	4.120	4.371
4.284	0.050	104	4.160	4.421
4.334	0.025	105	4.200	4.471
4.359	0.050	106	4.240	4.496
4.409	0.025	107	4.280	4.546
4.434	0.050	108	4.320	4.571
4.484	0.050	109	4.360	4.621
4.534	0.025	110	4.400	4.839
4.559	0.050	111	4.440	4.864
4.609	0.025	112	4.480	4.914
4.634	0.050	113	4.520	4.939
4.684	0.050	114	4.560	4.989
4.734	0.025	115	4.600	5.039
4.759	0.050	116	4.640	5.064
4.809	0.025	117	4.680	4.955
4.834	0.050	118	4.720	4.980
4.884	0.050	119	4.760	5.030
4.934	0.025	120	4.800	5.080
4.959	0.050	121	4.840	5.105
5.009	0.025	122	4.880	5.155
5.034	0.050	123	4.920	5.180
5.084	0.050	124	4.960	5.230
5.134	0.025	125	5.000	5.280
5.159	0.050	126	5.040	5.305
5.209	0.025	127	5.080	5.355
5.234	0.050	128	5.120	5.380
5.284	0.050	129	5.160	5.430
5.334	0.025	130	5.200	5.480
5.359	0.050	131	5.240	5.505
5.409	0.025	132	5.280	5.555
5.434	0.050	133	5.320	5.763
5.484	0.050	134	5.360	5.813
5.534	0.025	135	5.400	5.863
5.559	0.050	136	5.440	5.888
5.609	0.025	137	5.480	5.938
5.634	0.050	138	5.520	5.963
5.684	0.050	139	5.560	6.013
5.734	0.025	140	5.600	6.001
5.759	0.050	141	5.640	6.026
5.809	0.025	142	5.680	6.076
5.834	0.050	143	5.720	6.101
5.884	0.050	144	5.760	6.151
5.934	0.025	145	5.800	6.201
5.959	0.050	146	5.840	6.226
6.009	0.025	147	5.880	6.276
6.034	0.050	148	5.920	6.301
6.084	0.050	149	5.960	6.269
6.134	0.025	150	6.000	6.319
6.159	0.050	151	6.040	6.344
6.209	0.025	152	6.080	6.394
6.234	0.050	153	6.120	6.419
6.284	0.050	154	6.160	6.469
6.334	0.025	155	6.200	6.519
6.359	0.050	156	6.240	6.544
6.409	0.025	157	6.280	6.555
6.434	0.050	158	6.320	6.580
6.484	0.050	159	6.360	6.630
6.534	0.025	160	6.400	6.680
6.559	0.050	161	6.440	6.705
6.609	0.025	162	6.480	6.755
6.635	0.050	163	6.520	6.780
6.684	0.050	164	6.560	6.830
6.734	0.025	165	6.600	6.880
6.760	0.050	166	6.640	6.905
6.810	0.025	167	6.680	6.955
6.835	0.050	168	6.720	6.980
6.885	0.050	169	6.760	7.030
6.935	0.025	170	6.800	7.080
6.960	0.050	171	6.840	7.105
7.010	0.025	172	6.880	7.138
7.035	0.050	173	6.920	7.163
7.085	0.050	174	6.960	7.213
7.135	0.025	175	7.000	7.263
7.160	0.050	176	7.040	7.288
7.210	0.025	177	7.080	7.338
7.235	0.050	178	7.120	7.363
7.285	0.050	179	7.160	7.413
7.335	0.025	180	7.200	7.511
7.360	0.050	181	7.240	7.536
7.410	0.025	182	7.280	7.586
7.435	0.050	183	7.320	7.611
7.485	0.050	184	7.360	7.661
7.535	0.025	185	7.400	7.711
7.560	0.050	186	7.440	7.736
7.610	0.025	187	7.480	7.786
7.635	0.050	188	7.520	7.819
7.685	0.050	189	7.560	7.869
7.735	0.025	190	7.600	7.919
7.760	0.050	191	7.640	7.944
7.810	0.025	192	7.680	7.994
7.835	0.050	193	7.720	8.019
7.885	0.050	194	7.760	8.069
7.935	0.025	195	7.800	8.080
7.960	0.050	196	7.840	8.105
8.010	0.025	197	7.880	8.155
8.035	0.050	198	7.920	8.180
8.085	0.050	199	7.960	8.230
8.135	0.025	200	8.000	8.280
8.160	0.050	201	8.040	8.305
8.210	0.025	202	8.080	8.355
8.235	0.050	203	8.120	8.380
8.285	0.050	204	8.160	8.430
8.335	0.025	205	8.200	8.481
8.360	0.050	206	8.240	8.506
