onset	duration	lh_orientation	rh_orientation
0.1902	3.000	135	90
8.2862	3.000	135	none
16.2009	3.000	90	135
24.1477	3.000	90	45
32.2453	3.000	90	none
40.1754	3.000	45	0
48.1740	3.000	45	0
56.2368	3.000	45	none
64.1848	3.000	0	45
72.1651	3.000	0	90
80.2618	3.000	none	90
88.2095	3.000	0	0
96.2071	3.000	0	0
104.2711	3.000	0	none
112.2012	3.000	0	135
120.1662	3.000	45	0
128.2132	3.000	135	135
136.2766	3.000	135	none
144.1741	3.000	90	90
152.2216	3.000	135	135
160.3016	3.000	none	135
168.1658	3.000	90	90
176.1968	3.000	45	135
184.2607	3.000	45	none
192.2080	3.000	135	45
200.1552	3.000	90	45
208.2688	3.000	90	none
216.2000	3.000	135	45
224.1641	3.000	45	90
232.2775	3.000	45	none
