onset	duration	lh_orientation	rh_orientation
0.1376	3.000	135	45
8.2180	3.000	none	45
16.1154	3.000	90	45
24.1969	3.000	135	0
32.2598	3.000	none	0
40.1575	3.000	0	90
48.1552	3.000	0	90
56.1186	3.000	45	135
64.1999	3.000	45	none
72.1473	3.000	0	45
80.1449	3.000	135	45
88.2243	3.000	none	45
96.1558	3.000	45	0
104.1533	3.000	135	90
112.2330	3.000	none	90
120.1308	3.000	45	0
128.1282	3.000	90	90
136.2416	3.000	none	90
144.1393	3.000	0	45
152.1365	3.000	45	0
160.2515	3.000	none	0
168.1646	3.000	90	135
176.1951	3.000	0	0
184.2429	3.000	0	none
192.1564	3.000	90	135
200.1874	3.000	135	135
208.2680	3.000	135	none
216.1652	3.000	45	135
224.1300	3.000	90	90
232.2093	3.000	none	90
