onset	duration	lh_orientation	rh_orientation
0.1673	3.000	90	0
8.1976	3.000	90	none
16.1285	3.000	90	90
24.1596	3.000	45	0
32.2062	3.000	45	none
40.1870	3.000	135	0
48.1510	3.000	0	90
56.2321	3.000	0	none
64.1290	3.000	90	90
72.1263	3.000	90	90
80.2077	3.000	90	none
88.1379	3.000	0	45
96.1684	3.000	0	135
104.2489	3.000	none	135
112.1961	3.000	0	135
120.1269	3.000	45	90
128.2072	3.000	45	none
136.1719	3.000	135	135
144.1023	3.000	45	45
152.2158	3.000	none	45
160.1800	3.000	135	135
168.1613	3.000	135	45
176.2076	3.000	none	45
184.1722	3.000	45	0
192.1532	3.000	0	45
200.2339	3.000	0	none
208.1646	3.000	135	45
216.1448	3.000	45	135
224.1422	3.000	90	0
232.2556	3.000	none	0
