onset	duration	lh_orientation	rh_orientation
0.1541	3.000	90	0
8.1688	3.000	90	none
16.1490	3.000	45	45
24.1628	3.000	90	135
32.1935	3.000	none	135
40.1913	3.000	0	135
48.1548	3.000	135	90
56.1686	3.000	none	90
64.1826	3.000	90	0
72.1968	3.000	135	135
80.2103	3.000	none	135
88.1414	3.000	90	90
96.1884	3.000	135	0
104.1525	3.000	90	135
112.1499	3.000	90	none
120.1975	3.000	135	0
128.1278	3.000	45	90
136.1754	3.000	none	90
144.1559	3.000	45	135
152.1199	3.000	45	45
160.1508	3.000	45	none
168.1816	3.000	0	45
176.1281	3.000	45	90
184.1755	3.000	none	90
192.1735	3.000	0	45
200.2037	3.000	0	0
208.1841	3.000	0	none
216.1815	3.000	135	45
224.1795	3.000	0	90
232.1763	3.000	none	90
