onset	duration	lh_orientation	rh_orientation
0.1762	3.000	90	0
8.2900	3.000	90	none
16.1880	3.000	135	45
24.1517	3.000	135	90
32.2987	3.000	none	90
40.2294	3.000	135	135
48.1604	3.000	45	90
56.2739	3.000	45	none
64.2215	3.000	0	0
72.1689	3.000	45	0
80.2503	3.000	45	none
88.1303	3.000	90	45
96.1775	3.000	135	45
104.1580	3.000	90	0
112.3052	3.000	none	0
120.1528	3.000	135	45
128.1508	3.000	45	0
136.2806	3.000	45	none
144.1446	3.000	45	45
152.1429	3.000	45	90
160.2567	3.000	45	none
168.1708	3.000	90	135
176.1681	3.000	90	135
184.3146	3.000	none	135
192.2121	3.000	0	135
200.1767	3.000	0	90
208.3242	3.000	0	none
216.1876	3.000	0	90
224.2021	3.000	0	135
232.2825	3.000	0	none
