onset	duration	lh_orientation	rh_orientation
0.1609	3.000	90	0
8.3247	3.000	none	0
16.1391	3.000	45	90
24.1697	3.000	135	45
32.2836	3.000	135	none
40.1809	3.000	0	45
48.1952	3.000	135	0
56.3419	3.000	none	0
64.1729	3.000	90	0
72.1872	3.000	135	135
80.3174	3.000	135	none
88.1314	3.000	45	45
96.1955	3.000	0	0
104.3437	3.000	none	0
112.1737	3.000	135	90
120.1709	3.000	45	0
128.2512	3.000	45	none
136.1656	3.000	90	45
144.1303	3.000	90	45
152.1767	3.000	0	135
160.3238	3.000	none	135
168.2045	3.000	0	135
176.1687	3.000	90	135
184.2989	3.000	none	135
192.2297	3.000	0	135
200.1440	3.000	45	90
208.3080	3.000	none	90
216.1386	3.000	45	90
224.1527	3.000	135	90
232.2996	3.000	none	90
