onset	duration	lh_orientation	rh_orientation
0.1481	3.000	90	45
8.3284	3.000	90	none
16.2093	3.000	135	90
24.1734	3.000	45	135
32.3202	3.000	none	135
40.2012	3.000	0	90
48.2154	3.000	135	0
56.3455	3.000	none	0
64.2265	3.000	0	135
72.2073	3.000	90	45
80.2708	3.000	90	none
88.2018	3.000	90	0
96.1992	3.000	0	90
104.3296	3.000	0	none
112.1771	3.000	45	90
120.1744	3.000	135	45
128.2880	3.000	none	45
136.2189	3.000	135	90
144.2330	3.000	0	0
152.3321	3.000	none	0
160.2109	3.000	90	135
168.1747	3.000	45	135
176.3386	3.000	none	135
184.1529	3.000	45	45
192.1836	3.000	45	135
200.3316	3.000	none	135
208.2447	3.000	135	0
216.1922	3.000	90	0
224.3224	3.000	none	0
232.2367	3.000	0	45
