onset	duration	lh_orientation	rh_orientation
0.2067	3.000	45	45
8.1872	3.000	45	none
16.1346	3.000	45	45
24.2484	3.000	90	0
32.2292	3.000	none	0
40.2266	3.000	135	90
48.2073	3.000	135	0
56.2212	3.000	none	0
64.3018	3.000	0	135
72.1825	3.000	135	90
80.2132	3.000	none	90
88.1935	3.000	135	45
96.1912	3.000	0	90
104.2218	3.000	0	none
112.2191	3.000	0	0
120.1496	3.000	90	90
128.2301	3.000	0	0
136.2276	3.000	none	0
144.1584	3.000	45	90
152.1723	3.000	45	135
160.1864	3.000	45	none
168.2169	3.000	0	135
176.1976	3.000	90	135
184.1948	3.000	90	none
192.2255	3.000	135	135
200.1561	3.000	45	45
208.1867	3.000	45	none
216.1505	3.000	90	45
224.1980	3.000	90	0
232.2287	3.000	none	0
