onset	duration	lh_orientation	rh_orientation
0.1168	3.000	45	45
8.2303	3.000	45	none
16.1943	3.000	45	135
24.1749	3.000	90	0
32.2885	3.000	none	0
40.1696	3.000	135	90
48.1670	3.000	0	90
56.1139	3.000	90	45
64.2611	3.000	none	45
72.1754	3.000	45	0
80.1728	3.000	0	90
88.2196	3.000	none	90
96.2172	3.000	0	0
104.1813	3.000	135	90
112.2621	3.000	135	none
120.1595	3.000	45	45
128.1734	3.000	135	90
136.2367	3.000	none	90
144.2009	3.000	135	135
152.1488	3.000	45	135
160.2457	3.000	45	none
168.1765	3.000	90	0
176.1570	3.000	135	45
184.2539	3.000	135	none
192.1693	3.000	90	135
200.1495	3.000	0	45
208.2962	3.000	0	none
216.1934	3.000	0	0
224.1577	3.000	90	135
232.2215	3.000	90	none
