onset	duration	lh_orientation	rh_orientation
0.1420	3.000	45	90
8.2388	3.000	none	90
16.1698	3.000	90	0
24.1511	3.000	45	0
32.2475	3.000	none	0
40.1793	3.000	0	90
48.1263	3.000	45	45
56.2226	3.000	none	45
64.1202	3.000	90	45
72.1848	3.000	0	135
80.2647	3.000	none	135
88.1790	3.000	0	90
96.1767	3.000	0	90
104.2742	3.000	0	none
112.1542	3.000	90	0
120.1351	3.000	135	45
128.2485	3.000	135	none
136.2127	3.000	0	135
144.2101	3.000	135	135
152.2407	3.000	135	none
160.1713	3.000	90	135
168.1686	3.000	135	0
176.2333	3.000	135	none
184.1798	3.000	135	135
192.1938	3.000	135	0
200.1077	3.000	45	45
208.2216	3.000	45	none
216.1190	3.000	90	90
224.1333	3.000	45	45
232.2302	3.000	45	none
