onset	duration	lh_orientation	rh_orientation
0.1765	3.000	45	0
8.2073	3.000	none	0
16.1877	3.000	0	90
24.2017	3.000	0	0
32.2158	3.000	none	0
40.1964	3.000	90	135
48.1770	3.000	135	45
56.2073	3.000	135	none
64.2048	3.000	135	135
72.1690	3.000	90	0
80.1997	3.000	none	0
88.1801	3.000	90	135
96.1609	3.000	45	90
104.1750	3.000	none	90
112.2055	3.000	135	135
120.1695	3.000	0	45
128.1670	3.000	none	45
136.1809	3.000	45	0
144.1950	3.000	135	135
152.1929	3.000	135	none
160.1229	3.000	45	45
168.1201	3.000	90	45
176.1841	3.000	0	90
184.1813	3.000	none	90
192.1622	3.000	90	90
200.1425	3.000	45	45
208.1732	3.000	none	45
216.1874	3.000	135	90
224.2012	3.000	0	0
232.2153	3.000	0	none
