onset	duration	lh_orientation	rh_orientation
0.1665	3.000	45	0
8.2302	3.000	none	0
16.1944	3.000	135	90
24.2580	3.000	0	45
32.2058	3.000	0	none
40.2528	3.000	90	135
48.1668	3.000	45	135
56.1975	3.000	45	none
64.2115	3.000	135	135
72.1920	3.000	0	90
80.2225	3.000	0	none
88.2035	3.000	90	0
96.2170	3.000	0	0
104.2314	3.000	none	0
112.1955	3.000	45	135
120.1925	3.000	45	0
128.2234	3.000	none	0
136.1707	3.000	45	90
144.1513	3.000	90	45
152.1984	3.000	90	none
160.1793	3.000	135	45
168.2100	3.000	0	0
176.1740	3.000	0	45
184.2211	3.000	0	none
192.1684	3.000	90	90
200.1825	3.000	135	45
208.1965	3.000	none	45
216.2271	3.000	135	135
224.1743	3.000	90	90
232.1884	3.000	90	none
