onset	duration	lh_orientation	rh_orientation
0.1488	3.000	90	90
8.1962	3.000	none	90
16.1767	3.000	90	90
24.1908	3.000	0	45
32.1880	3.000	none	45
40.1852	3.000	45	0
48.2160	3.000	135	135
56.2298	3.000	none	135
64.1938	3.000	135	90
72.1578	3.000	45	90
80.2050	3.000	45	none
88.2190	3.000	0	135
96.1830	3.000	0	45
104.2304	3.000	0	none
112.2272	3.000	135	0
120.2249	3.000	0	0
128.2058	3.000	none	0
136.1196	3.000	90	45
144.1671	3.000	45	135
152.1812	3.000	45	none
160.1449	3.000	45	45
168.1423	3.000	90	45
176.1728	3.000	none	45
184.2036	3.000	135	135
192.1842	3.000	135	135
200.1983	3.000	135	none
208.1956	3.000	90	0
216.1762	3.000	45	0
224.1566	3.000	0	90
232.1875	3.000	none	90
