onset	duration	lh_orientation	rh_orientation
0.1724	3.000	0	45
7.8534	3.000	0	none
15.8169	3.000	45	135
23.8147	3.000	45	135
31.8614	3.000	none	135
39.8092	3.000	0	45
47.8404	3.000	45	135
55.8703	3.000	none	135
63.8685	3.000	0	0
71.8316	3.000	45	135
79.8289	3.000	0	90
87.8764	3.000	0	none
95.8404	3.000	135	90
103.8382	3.000	90	0
111.8517	3.000	90	none
119.8157	3.000	90	90
127.8294	3.000	90	135
135.8436	3.000	90	none
143.8242	3.000	135	45
151.8716	3.000	135	0
159.8853	3.000	none	0
167.7996	3.000	45	45
175.8632	3.000	0	0
183.8607	3.000	0	none
191.8079	3.000	90	90
199.8386	3.000	135	45
207.8366	3.000	none	45
215.8499	3.000	90	0
223.8479	3.000	135	90
231.8278	3.000	none	90
