onset	duration	lh_orientation	rh_orientation
0.1579	3.000	45	135
8.1719	3.000	45	none
16.1359	3.000	90	45
24.1334	3.000	45	90
32.1974	3.000	none	90
40.1946	3.000	135	135
48.1753	3.000	90	0
56.2059	3.000	none	0
64.1698	3.000	90	135
72.1837	3.000	135	90
80.1813	3.000	none	90
88.1784	3.000	0	45
96.2091	3.000	0	0
104.2065	3.000	none	0
112.1371	3.000	45	90
120.1510	3.000	90	90
128.1649	3.000	none	90
136.1957	3.000	90	0
144.1261	3.000	45	45
152.1736	3.000	45	none
160.2041	3.000	0	90
168.1682	3.000	45	135
176.2153	3.000	0	0
184.2299	3.000	0	none
192.2267	3.000	0	0
200.2075	3.000	135	135
208.2212	3.000	none	135
216.1684	3.000	135	45
224.1996	3.000	135	45
232.1967	3.000	none	45
