onset	duration	frameidx	videotime	audiotime	lasttrigger
0.033	0.034	1	0.040	0.000	0.000
0.067	0.017	2	0.080	0.000	0.000
0.083	0.048	3	0.120	0.000	0.000
0.131	0.035	4	0.160	0.000	0.000
0.166	0.050	5	0.200	0.000	0.000
0.216	0.034	6	0.240	0.000	0.000
0.250	0.034	7	0.280	0.000	0.000
0.283	0.050	8	0.320	0.000	0.000
0.333	0.033	9	0.360	0.000	0.000
0.366	0.050	10	0.400	0.000	0.000
0.416	0.034	11	0.440	0.000	0.000
0.450	0.033	12	0.480	0.000	0.000
0.483	0.050	13	0.520	0.000	0.000
0.533	0.033	14	0.560	0.000	0.000
0.566	0.050	15	0.600	0.000	0.000
0.616	0.034	16	0.640	0.000	0.000
0.650	0.033	17	0.680	0.000	0.000
0.683	0.050	18	0.720	0.000	0.000
0.733	0.034	19	0.760	0.994	0.000
0.766	0.050	20	0.800	1.027	0.000
0.816	0.033	21	0.840	1.077	0.000
0.849	0.034	22	0.880	1.110	0.000
0.883	0.050	23	0.920	1.143	0.000
0.933	0.033	24	0.960	1.194	0.000
0.966	0.050	25	1.000	1.227	0.000
1.016	0.032	26	1.040	1.323	0.000
1.049	0.034	27	1.080	1.358	0.000
1.083	0.050	28	1.120	1.392	0.000
1.133	0.033	29	1.160	1.442	0.000
1.166	0.050	30	1.200	1.475	0.000
1.216	0.034	31	1.240	1.525	0.000
1.249	0.033	32	1.280	1.558	0.000
1.282	0.050	33	1.320	1.591	0.000
1.332	0.034	34	1.360	1.608	0.000
1.366	0.050	35	1.400	1.643	0.000
1.416	0.034	36	1.440	1.693	0.000
1.449	0.033	37	1.480	1.726	0.000
1.482	0.049	38	1.520	1.760	0.000
1.532	0.034	39	1.560	1.810	0.000
1.566	0.050	40	1.600	1.843	0.000
1.616	0.033	41	1.640	1.893	0.000
1.649	0.033	42	1.680	1.974	0.000
1.682	0.050	43	1.720	2.007	0.000
1.732	0.034	44	1.760	2.058	0.000
1.766	0.050	45	1.800	2.091	0.000
1.816	0.033	46	1.840	2.141	0.000
1.849	0.034	47	1.880	2.174	0.000
1.883	0.049	48	1.920	2.207	0.000
1.932	0.034	49	1.960	2.258	0.000
1.966	0.050	50	2.000	2.164	1.999
2.016	0.033	51	2.040	2.214	1.999
2.049	0.034	52	2.080	2.247	1.999
2.083	0.050	53	2.120	2.280	1.999
2.133	0.033	54	2.160	2.330	1.999
2.166	0.050	55	2.200	2.364	1.999
