onset	duration	frameidx	videotime	audiotime
236.009	0.041	1	0.040	238.865
236.049	0.025	3	0.120	238.923
236.074	0.150	4	0.160	238.940
236.224	0.033	5	0.200	0.150
236.258	0.050	6	0.240	0.183
236.308	0.033	7	0.280	0.233
236.341	0.033	8	0.320	0.267
236.374	0.050	9	0.360	0.300
236.424	0.033	10	0.400	0.350
236.458	0.050	11	0.440	0.383
236.508	0.033	12	0.480	0.433
236.541	0.033	13	0.520	0.467
236.574	0.050	14	0.560	0.500
236.624	0.033	15	0.600	0.550
236.658	0.050	16	0.640	0.583
236.708	0.033	17	0.680	0.991
236.741	0.033	18	0.720	1.025
236.774	0.050	19	0.760	1.058
236.824	0.033	20	0.800	1.108
236.858	0.051	21	0.840	1.141
236.909	0.033	22	0.880	1.191
236.941	0.033	23	0.920	1.225
236.974	0.050	24	0.960	1.258
237.024	0.033	25	1.000	1.276
237.058	0.033	26	1.040	1.309
237.091	0.058	27	1.080	1.343
237.149	0.042	28	1.120	1.393
237.191	0.050	29	1.160	1.434
237.241	0.050	30	1.200	1.484
237.291	0.025	31	1.240	1.534
237.316	0.050	32	1.280	1.647
237.366	0.050	33	1.320	1.697
237.416	0.025	34	1.360	1.747
237.441	0.050	35	1.400	1.772
237.491	0.025	36	1.440	1.822
237.516	0.050	37	1.480	1.847
237.566	0.050	38	1.520	1.897
237.616	0.025	39	1.560	1.947
237.641	0.050	40	1.600	1.853
237.691	0.025	41	1.640	1.903
237.716	0.050	42	1.680	1.928
237.766	0.050	43	1.720	1.978
237.816	0.025	44	1.760	2.028
237.841	0.050	45	1.800	2.053
237.891	0.025	46	1.840	2.103
237.916	0.050	47	1.880	2.129
237.966	0.050	48	1.920	2.179
238.016	0.025	49	1.960	2.229
238.041	0.050	50	2.000	2.254
238.091	0.025	51	2.040	2.304
238.116	0.050	52	2.080	2.329
238.166	0.050	53	2.120	2.379
238.216	0.025	54	2.160	2.429
238.241	0.050	55	2.200	2.454
238.291	0.025	56	2.240	2.526
238.316	0.050	57	2.280	2.552
238.366	0.050	58	2.320	2.601
238.416	0.025	59	2.360	2.651
238.441	0.050	60	2.400	2.677
238.491	0.025	61	2.440	2.726
238.516	0.050	62	2.480	2.752
238.566	0.050	63	2.520	2.810
238.616	0.025	64	2.560	2.860
238.641	0.050	65	2.600	2.885
