onset	duration	frameidx	videotime	audiotime
0.025	0.033	1	0.040	2.309
0.058	0.042	2	0.080	2.342
0.100	0.050	3	0.120	2.375
0.150	0.150	4	0.160	2.425
0.300	0.050	5	0.200	0.150
0.350	0.050	6	0.240	0.200
0.400	0.025	7	0.280	0.250
0.425	0.050	8	0.320	0.275
0.475	0.050	9	0.360	0.325
0.525	0.025	10	0.400	0.375
0.550	0.050	11	0.440	0.400
0.600	0.025	12	0.480	0.450
0.625	0.050	13	0.520	0.475
0.675	0.050	14	0.560	0.525
0.725	0.025	15	0.600	0.575
0.750	0.050	16	0.640	0.970
0.800	0.025	17	0.680	1.020
0.825	0.050	18	0.720	1.045
0.875	0.050	19	0.760	1.095
0.925	0.025	20	0.800	1.145
0.950	0.050	21	0.840	1.170
1.000	0.025	22	0.880	1.220
1.025	0.050	23	0.920	1.245
1.075	0.050	24	0.960	1.263
1.125	0.025	25	1.000	1.313
1.150	0.050	26	1.040	1.338
1.200	0.025	27	1.080	1.388
1.225	0.050	28	1.120	1.413
1.275	0.050	29	1.160	1.463
1.325	0.025	30	1.200	1.513
1.350	0.050	31	1.240	1.538
1.400	0.025	32	1.280	1.596
1.425	0.050	33	1.320	1.621
1.475	0.050	34	1.360	1.671
1.525	0.025	35	1.400	1.721
1.550	0.050	36	1.440	1.746
1.600	0.025	37	1.480	1.796
1.625	0.050	38	1.520	1.821
1.675	0.050	39	1.560	1.871
1.725	0.025	40	1.600	1.882
1.750	0.050	41	1.640	1.907
1.800	0.025	42	1.680	1.957
1.825	0.050	43	1.720	1.982
1.875	0.050	44	1.760	2.032
1.925	0.025	45	1.800	2.082
1.950	0.050	46	1.840	2.107
2.000	0.025	47	1.880	2.157
2.025	0.050	48	1.920	2.182
2.075	0.050	49	1.960	2.232
2.125	0.025	50	2.000	2.282
2.150	0.050	51	2.040	2.307
2.200	0.025	52	2.080	2.357
2.225	0.050	53	2.120	2.382
2.275	0.050	54	2.160	2.432
2.325	0.025	55	2.200	2.585
2.350	0.050	56	2.240	2.610
2.400	0.025	57	2.280	2.660
2.425	0.050	58	2.320	2.685
2.475	0.050	59	2.360	2.735
2.525	0.025	60	2.400	2.785
2.550	0.050	61	2.440	2.810
2.600	0.025	62	2.480	2.860
2.625	0.050	63	2.520	2.893
2.675	0.050	64	2.560	2.943
2.725	0.025	65	2.600	2.993
2.750	0.050	66	2.640	3.018
2.800	0.025	67	2.680	3.068
2.825	0.050	68	2.720	3.093
2.875	0.050	69	2.760	3.143
2.926	0.025	70	2.800	3.161
2.950	0.050	71	2.840	3.186
3.001	0.025	72	2.880	3.236
3.025	0.050	73	2.920	3.261
3.075	0.050	74	2.960	3.311
3.126	0.025	75	3.000	3.361
3.150	0.050	76	3.040	3.386
3.200	0.025	77	3.080	3.436
3.226	0.050	78	3.120	3.461
3.275	0.050	79	3.160	3.432
3.325	0.025	80	3.200	3.482
3.351	0.050	81	3.240	3.507
3.400	0.025	82	3.280	3.557
3.426	0.050	83	3.320	3.582
3.476	0.050	84	3.360	3.632
3.526	0.025	85	3.400	3.682
3.551	0.050	86	3.440	3.707
3.601	0.025	87	3.480	3.757
3.626	0.050	88	3.520	3.782
3.676	0.050	89	3.560	3.832
3.726	0.025	90	3.600	3.882
3.751	0.050	91	3.640	3.907
3.801	0.025	92	3.680	3.957
3.826	0.050	93	3.720	3.982
3.876	0.050	94	3.760	4.055
3.926	0.025	95	3.800	4.105
3.951	0.050	96	3.840	4.130
4.001	0.025	97	3.880	4.180
4.026	0.050	98	3.920	4.205
4.076	0.050	99	3.960	4.255
4.126	0.025	100	4.000	4.305
4.151	0.050	101	4.040	4.330
4.201	0.025	102	4.080	4.468
4.226	0.050	103	4.120	4.493
4.276	0.050	104	4.160	4.543
4.326	0.025	105	4.200	4.593
4.351	0.050	106	4.240	4.618
4.401	0.025	107	4.280	4.668
4.426	0.050	108	4.320	4.693
4.476	0.050	109	4.360	4.743
4.526	0.025	110	4.400	4.801
4.551	0.050	111	4.440	4.826
4.601	0.025	112	4.480	4.876
4.626	0.050	113	4.520	4.901
4.676	0.050	114	4.560	4.951
4.726	0.025	115	4.600	5.001
4.751	0.050	116	4.640	5.026
4.801	0.025	117	4.680	4.957
4.826	0.050	118	4.720	4.982
4.876	0.050	119	4.760	5.032
4.926	0.025	120	4.800	5.082
4.951	0.050	121	4.840	5.107
5.001	0.025	122	4.880	5.157
5.026	0.050	123	4.920	5.182
5.076	0.050	124	4.960	5.232
5.126	0.025	125	5.000	5.282
5.151	0.050	126	5.040	5.308
5.201	0.025	127	5.080	5.358
5.226	0.050	128	5.120	5.383
5.276	0.050	129	5.160	5.433
5.326	0.025	130	5.200	5.483
5.351	0.050	131	5.240	5.508
5.401	0.025	132	5.280	5.558
5.426	0.050	133	5.320	5.686
5.476	0.050	134	5.360	5.736
5.526	0.025	135	5.400	5.786
5.551	0.050	136	5.440	5.811
5.601	0.025	137	5.480	5.861
5.626	0.050	138	5.520	5.886
5.676	0.050	139	5.560	5.936
5.726	0.025	140	5.600	5.986
5.751	0.050	141	5.640	6.019
5.801	0.025	142	5.680	6.069
5.826	0.050	143	5.720	6.094
5.876	0.050	144	5.760	6.144
5.926	0.025	145	5.800	6.194
5.951	0.050	146	5.840	6.219
6.001	0.025	147	5.880	6.269
6.026	0.050	148	5.920	6.294
6.076	0.050	149	5.960	6.272
6.126	0.025	150	6.000	6.322
6.151	0.050	151	6.040	6.347
6.201	0.025	152	6.080	6.397
6.226	0.050	153	6.120	6.422
6.276	0.050	154	6.160	6.472
6.326	0.025	155	6.200	6.522
6.351	0.050	156	6.240	6.547
6.401	0.025	157	6.280	6.558
6.426	0.050	158	6.320	6.583
6.476	0.050	159	6.360	6.633
6.526	0.025	160	6.400	6.683
6.551	0.050	161	6.440	6.708
6.601	0.025	162	6.480	6.758
6.626	0.050	163	6.520	6.783
6.676	0.050	164	6.560	6.833
6.726	0.025	165	6.600	6.883
6.751	0.050	166	6.640	6.908
6.801	0.025	167	6.680	6.958
6.826	0.050	168	6.720	6.983
6.876	0.050	169	6.760	7.033
6.926	0.025	170	6.800	7.083
6.951	0.050	171	6.840	7.108
7.001	0.025	172	6.880	7.261
7.026	0.050	173	6.920	7.286
7.076	0.050	174	6.960	7.336
7.126	0.025	175	7.000	7.386
7.151	0.050	176	7.040	7.411
7.201	0.025	177	7.080	7.461
7.226	0.050	178	7.120	7.486
7.276	0.050	179	7.160	7.536
7.326	0.025	180	7.200	7.594
7.351	0.050	181	7.240	7.619
7.401	0.025	182	7.280	7.669
7.426	0.050	183	7.320	7.694
7.476	0.050	184	7.360	7.744
7.526	0.025	185	7.400	7.794
7.551	0.050	186	7.440	7.819
7.601	0.025	187	7.480	7.869
7.626	0.050	188	7.520	7.902
7.676	0.050	189	7.560	7.952
7.726	0.025	190	7.600	8.002
7.751	0.050	191	7.640	8.027
7.801	0.025	192	7.680	8.077
7.826	0.050	193	7.720	8.102
7.877	0.050	194	7.760	8.152
7.927	0.025	195	7.800	8.083
7.952	0.050	196	7.840	8.108
8.002	0.025	197	7.880	8.158
8.026	0.050	198	7.920	8.183
8.077	0.050	199	7.960	8.233
8.127	0.025	200	8.000	8.283
8.151	0.050	201	8.040	8.308
8.202	0.025	202	8.080	8.358
8.226	0.050	203	8.120	8.383
8.276	0.050	204	8.160	8.433
8.327	0.025	205	8.200	8.483
8.352	0.050	206	8.240	8.508
8.402	0.025	207	8.280	8.558
8.427	0.050	208	8.320	8.583
8.477	0.050	209	8.360	8.633
8.527	0.025	210	8.400	8.683
8.552	0.050	211	8.440	8.731
8.602	0.025	212	8.480	8.781
8.627	0.050	213	8.520	8.806
8.677	0.050	214	8.560	8.856
8.727	0.025	215	8.600	8.906
8.752	0.050	216	8.640	8.931
8.802	0.025	217	8.680	8.981
8.827	0.050	218	8.720	9.006
8.877	0.050	219	8.760	9.064
8.927	0.025	220	8.800	9.114
8.952	0.050	221	8.840	9.139
9.002	0.025	222	8.880	9.189
9.027	0.050	223	8.920	9.214
9.077	0.050	224	8.960	9.264
9.127	0.025	225	9.000	9.314
9.152	0.050	226	9.040	9.339
9.202	0.025	227	9.080	9.397
9.227	0.050	228	9.120	9.422
9.277	0.050	229	9.160	9.472
9.327	0.025	230	9.200	9.522
9.352	0.050	231	9.240	9.547
9.402	0.025	232	9.280	9.597
9.427	0.050	233	9.320	9.622
9.477	0.050	234	9.360	9.633
9.527	0.025	235	9.400	9.683
9.552	0.050	236	9.440	9.708
9.602	0.025	237	9.480	9.758
9.627	0.050	238	9.520	9.783
