onset	duration	lh_orientation	rh_orientation
0.1727	3.000	90	0
8.1534	3.000	135	90
16.2337	3.000	135	none
24.1476	3.000	135	45
32.1956	3.000	135	135
40.2754	3.000	none	135
48.1563	3.000	90	90
56.1538	3.000	90	135
64.2506	3.000	none	135
72.1983	3.000	0	0
80.2129	3.000	135	0
88.2596	3.000	135	none
96.2068	3.000	0	135
104.1214	3.000	45	45
112.2178	3.000	45	none
120.1323	3.000	45	90
128.1634	3.000	90	135
136.2598	3.000	none	135
144.1241	3.000	45	90
152.1547	3.000	90	0
160.2520	3.000	none	0
168.1494	3.000	0	45
176.1641	3.000	135	45
184.2269	3.000	none	45
192.1751	3.000	0	90
200.1562	3.000	45	0
208.2699	3.000	none	0
216.1840	3.000	0	135
224.1140	3.000	45	45
232.2446	3.000	none	45
