onset	duration	lh_orientation	rh_orientation
0.1641	3.000	135	45
7.7450	3.000	none	45
15.7426	3.000	0	45
23.7064	3.000	45	90
31.7534	3.000	none	90
39.7676	3.000	0	0
47.7481	3.000	0	90
55.7454	3.000	135	90
63.7596	3.000	none	90
71.7573	3.000	45	0
79.7041	3.000	45	45
87.7347	3.000	45	none
95.7819	3.000	0	0
103.7462	3.000	135	135
111.7933	3.000	none	135
119.7575	3.000	90	135
127.7379	3.000	45	0
135.7852	3.000	none	0
143.7663	3.000	135	135
151.6967	3.000	45	45
159.7605	3.000	none	45
167.7417	3.000	135	90
175.7053	3.000	90	90
183.7526	3.000	90	none
191.7499	3.000	90	0
199.7306	3.000	90	135
207.7446	3.000	90	none
215.7755	3.000	0	135
223.7222	3.000	90	45
231.7364	3.000	none	45
