onset	duration	lh_orientation	rh_orientation
0.1146	3.000	45	45
8.1620	3.000	45	none
16.2092	3.000	135	0
24.1566	3.000	45	0
32.2036	3.000	none	0
40.1685	3.000	90	135
48.1652	3.000	135	90
56.1792	3.000	none	90
64.1432	3.000	90	45
72.1571	3.000	45	0
80.1543	3.000	45	none
88.1688	3.000	0	90
96.1991	3.000	135	135
104.1964	3.000	135	none
112.2101	3.000	0	135
120.1245	3.000	90	45
128.1217	3.000	45	45
136.1525	3.000	45	none
144.1663	3.000	135	90
152.1970	3.000	0	135
160.1942	3.000	0	none
168.2081	3.000	0	0
176.1554	3.000	90	135
184.2026	3.000	none	135
192.1834	3.000	45	0
200.1808	3.000	0	90
208.1945	3.000	0	none
216.1586	3.000	135	45
224.1395	3.000	90	90
232.1700	3.000	none	90
