onset	duration	lh_orientation	rh_orientation
0.1818	3.000	135	135
8.1959	3.000	135	none
16.1766	3.000	90	0
24.1239	3.000	45	45
32.1711	3.000	none	45
40.1518	3.000	135	45
48.1492	3.000	45	90
56.1798	3.000	45	none
64.1608	3.000	45	135
72.1909	3.000	0	135
80.2048	3.000	none	135
88.1690	3.000	0	90
96.1670	3.000	135	90
104.1970	3.000	135	none
112.1775	3.000	90	0
120.1582	3.000	135	45
128.1890	3.000	135	none
136.1364	3.000	90	45
144.1501	3.000	90	0
152.1642	3.000	90	none
160.2114	3.000	0	0
168.1253	3.000	45	45
176.1560	3.000	45	none
184.1367	3.000	45	90
192.1839	3.000	135	0
200.1980	3.000	0	135
208.1955	3.000	0	none
216.1928	3.000	0	135
224.1399	3.000	90	90
232.1704	3.000	none	90
