onset	duration	frameidx	videotime	audiotime	lasttrigger
0.050	0.034	1	0.040	0.000	0.000
0.083	0.020	2	0.080	0.000	0.000
0.103	0.030	3	0.120	0.000	0.000
0.133	0.067	4	0.160	0.000	0.000
0.199	0.037	5	0.200	0.000	0.000
0.237	0.033	6	0.240	0.000	0.000
0.270	0.030	7	0.280	0.000	0.000
0.300	0.066	8	0.320	0.000	0.000
0.366	0.034	9	0.360	0.000	0.000
0.400	0.017	10	0.400	0.000	0.000
0.416	0.067	11	0.440	0.000	0.000
0.483	0.033	12	0.480	0.000	0.000
0.516	0.036	13	0.520	0.000	0.000
0.552	0.034	14	0.560	0.000	0.000
0.586	0.030	15	0.600	0.000	0.000
0.616	0.053	16	0.640	0.000	0.000
0.669	0.030	17	0.680	0.000	0.000
0.699	0.054	18	0.720	0.000	0.000
0.753	0.033	19	0.760	1.047	0.000
0.786	0.030	20	0.800	1.080	0.000
0.816	0.053	21	0.840	1.113	0.000
0.869	0.034	22	0.880	1.163	0.000
0.904	0.029	23	0.920	1.198	0.000
0.933	0.054	24	0.960	1.230	0.000
0.986	0.030	25	1.000	1.280	0.000
1.016	0.054	26	1.040	1.313	0.000
1.069	0.030	27	1.080	1.251	0.000
1.099	0.054	28	1.120	1.284	0.000
1.153	0.034	29	1.160	1.334	0.000
1.187	0.029	30	1.200	1.367	0.000
1.216	0.053	31	1.240	1.401	0.000
1.269	0.030	32	1.280	1.451	0.000
1.299	0.055	33	1.320	1.484	0.000
1.354	0.032	34	1.360	1.534	0.000
1.386	0.029	35	1.400	1.616	0.000
1.416	0.055	36	1.440	1.649	0.000
1.470	0.029	37	1.480	1.699	0.000
1.499	0.053	38	1.520	1.732	0.000
1.552	0.034	39	1.560	1.782	0.000
1.586	0.030	40	1.600	1.816	0.000
1.616	0.054	41	1.640	1.849	0.000
1.669	0.030	42	1.680	1.899	0.000
1.699	0.053	43	1.720	1.900	0.000
1.752	0.034	44	1.760	1.950	0.000
1.786	0.030	45	1.800	1.983	0.000
1.816	0.053	46	1.840	2.017	0.000
1.869	0.030	47	1.880	2.066	0.000
1.899	0.053	48	1.920	2.100	0.000
1.952	0.034	49	1.960	2.150	0.000
1.986	0.030	50	2.000	2.183	2.000
2.016	0.053	51	2.040	2.170	2.000
2.069	0.030	52	2.080	2.220	2.000
2.099	0.053	53	2.120	2.253	2.000
2.152	0.033	54	2.160	2.303	2.000
2.185	0.030	55	2.200	2.336	2.000
2.216	0.053	56	2.240	2.370	2.000
2.269	0.030	57	2.280	2.419	2.000
2.299	0.053	58	2.320	2.453	2.000
2.352	0.033	59	2.360	2.551	2.000
2.385	0.030	60	2.400	2.584	2.000
2.415	0.054	61	2.440	2.617	2.000
2.470	0.029	62	2.480	2.668	2.000
2.499	0.053	63	2.520	2.701	2.000
2.552	0.047	64	2.560	2.751	2.000
2.599	0.037	65	2.600	2.784	2.000
2.635	0.034	66	2.640	2.786	2.000
2.669	0.030	67	2.680	2.819	2.000
2.699	0.067	68	2.720	2.853	2.000
2.765	0.034	69	2.760	2.902	2.000
2.799	0.016	70	2.800	2.956	2.000
2.815	0.053	71	2.840	2.969	2.000
2.869	0.030	72	2.880	3.019	2.000
2.899	0.067	73	2.920	3.052	2.000
2.965	0.034	74	2.960	3.151	2.000
2.999	0.016	75	3.000	3.204	2.000
3.015	0.067	76	3.040	3.217	2.000
3.082	0.036	77	3.080	3.267	2.000
3.118	0.034	78	3.120	3.317	2.000
3.152	0.034	79	3.160	3.351	2.000
3.186	0.030	80	3.200	3.384	2.000
3.215	0.055	81	3.240	3.417	2.000
3.270	0.029	82	3.280	3.626	2.000
3.299	0.053	83	3.320	3.660	2.000
3.352	0.047	84	3.360	3.710	2.000
3.398	0.036	85	3.400	3.743	2.000
3.435	0.034	86	3.440	3.793	2.000
3.469	0.030	87	3.480	3.826	2.000
3.498	0.067	88	3.520	3.860	2.000
3.565	0.034	89	3.560	3.909	2.000
3.599	0.016	90	3.600	3.811	2.000
3.615	0.054	91	3.640	3.824	2.000
3.669	0.030	92	3.680	3.874	2.000
3.698	0.067	93	3.720	3.907	2.000
3.765	0.033	94	3.760	3.957	2.000
3.799	0.016	95	3.800	4.011	2.000
3.815	0.067	96	3.840	4.024	2.000
3.882	0.036	97	3.880	4.122	2.000
3.918	0.034	98	3.920	4.172	2.000
3.952	0.033	99	3.960	4.205	2.000
3.985	0.030	100	4.000	4.239	3.999
4.015	0.054	101	4.040	4.272	3.999
4.069	0.029	102	4.080	4.322	3.999
4.098	0.054	103	4.120	4.355	3.999
4.152	0.046	104	4.160	4.405	3.999
4.198	0.036	105	4.200	4.312	3.999
4.234	0.035	106	4.240	4.361	3.999
4.269	0.029	107	4.280	4.395	3.999
4.298	0.053	108	4.320	4.428	3.999
4.352	0.033	109	4.360	4.478	3.999
4.385	0.030	110	4.400	4.512	3.999
4.415	0.054	111	4.440	4.545	3.999
4.469	0.029	112	4.480	4.595	3.999
4.498	0.053	113	4.520	4.676	3.999
4.551	0.047	114	4.560	4.726	3.999
4.598	0.036	115	4.600	4.759	3.999
4.635	0.034	116	4.640	4.809	3.999
4.669	0.029	117	4.680	4.843	3.999
4.698	0.067	118	4.720	4.876	3.999
4.765	0.034	119	4.760	4.926	3.999
4.799	0.016	120	4.800	4.932	3.999
4.815	0.054	121	4.840	4.945	3.999
4.869	0.029	122	4.880	4.995	3.999
4.898	0.054	123	4.920	5.028	3.999
4.952	0.033	124	4.960	5.078	3.999
4.985	0.030	125	5.000	5.111	3.999
5.015	0.055	126	5.040	5.145	3.999
5.069	0.030	127	5.080	5.195	3.999
5.099	0.066	128	5.120	5.228	3.999
5.165	0.020	129	5.160	5.346	3.999
5.184	0.030	130	5.200	5.359	3.999
5.215	0.054	131	5.240	5.393	3.999
5.269	0.029	132	5.280	5.443	3.999
5.298	0.053	133	5.320	5.476	3.999
5.351	0.047	134	5.360	5.526	3.999
5.398	0.038	135	5.400	5.559	3.999
5.436	0.033	136	5.440	5.768	3.999
5.469	0.029	137	5.480	5.802	3.999
5.498	0.067	138	5.520	5.835	3.999
5.564	0.034	139	5.560	5.885	3.999
5.598	0.016	140	5.600	5.938	3.999
5.614	0.054	141	5.640	5.952	3.999
5.668	0.029	142	5.680	6.002	3.999
5.698	0.054	143	5.720	6.035	3.999
5.751	0.034	144	5.760	6.013	3.999
5.785	0.029	145	5.800	6.046	3.999
5.814	0.053	146	5.840	6.079	3.999
5.868	0.030	147	5.880	6.129	3.999
5.898	0.053	148	5.920	6.162	3.999
5.951	0.033	149	5.960	6.213	3.999
5.984	0.030	150	6.000	6.246	5.998
6.014	0.055	151	6.040	6.280	5.998
6.069	0.028	152	6.080	6.418	5.998
6.098	0.054	153	6.120	6.451	5.998
6.151	0.046	154	6.160	6.501	5.998
6.198	0.036	155	6.200	6.534	5.998
6.234	0.033	156	6.240	6.584	5.998
6.267	0.030	157	6.280	6.617	5.998
6.298	0.067	158	6.320	6.651	5.998
6.364	0.034	159	6.360	6.700	5.998
6.398	0.016	160	6.400	6.682	5.998
6.414	0.053	161	6.440	6.696	5.998
6.467	0.030	162	6.480	6.745	5.998
6.498	0.067	163	6.520	6.779	5.998
6.564	0.034	164	6.560	6.828	5.998
6.598	0.016	165	6.600	6.882	5.998
6.614	0.067	166	6.640	6.895	5.998
6.681	0.037	167	6.680	6.945	5.998
6.718	0.033	168	6.720	6.868	5.998
6.751	0.033	169	6.760	6.902	5.998
6.784	0.030	170	6.800	6.935	5.998
6.814	0.053	171	6.840	6.968	5.998
6.867	0.030	172	6.880	7.018	5.998
6.897	0.054	173	6.920	7.052	5.998
6.951	0.046	174	6.960	7.102	5.998
6.997	0.036	175	7.000	7.135	5.998
