onset	duration	lh_orientation	rh_orientation
0.1628	3.000	135	90
8.2599	3.000	135	none
16.1401	3.000	0	90
24.1546	3.000	135	90
32.2345	3.000	none	90
40.1485	3.000	90	0
48.1800	3.000	135	135
56.2608	3.000	135	none
64.1241	3.000	90	90
72.1214	3.000	45	45
80.1699	3.000	0	135
88.2499	3.000	0	none
96.1636	3.000	90	135
104.1775	3.000	0	0
112.2748	3.000	none	0
120.1564	3.000	90	135
128.1530	3.000	90	0
136.2331	3.000	90	none
144.1471	3.000	45	45
152.1778	3.000	135	135
160.2582	3.000	none	135
168.1558	3.000	45	0
176.1204	3.000	45	45
184.2179	3.000	45	none
192.1646	3.000	0	45
200.1624	3.000	45	0
208.2253	3.000	45	none
216.1898	3.000	0	90
224.1544	3.000	135	45
232.2340	3.000	none	45
