onset	duration	lh_orientation	rh_orientation
0.1815	3.000	135	135
8.2612	3.000	none	135
16.2088	3.000	0	0
24.1734	3.000	90	0
32.2698	3.000	none	0
40.1513	3.000	90	45
48.1483	3.000	135	45
56.2452	3.000	135	none
64.1428	3.000	135	45
72.1574	3.000	45	0
80.2704	3.000	none	0
88.1180	3.000	45	90
96.1487	3.000	0	45
104.2457	3.000	none	45
112.1266	3.000	90	90
120.1238	3.000	45	90
128.2052	3.000	45	none
136.1852	3.000	0	135
144.1495	3.000	0	90
152.2808	3.000	0	none
160.1272	3.000	90	45
168.1917	3.000	135	0
176.2389	3.000	135	none
184.1527	3.000	90	135
192.1173	3.000	45	90
200.2147	3.000	45	none
208.1777	3.000	0	0
216.1589	3.000	45	135
224.3053	3.000	none	135
232.1864	3.000	135	135
