onset	duration	lh_orientation	rh_orientation
0.1690	3.000	0	90
8.2493	3.000	none	90
16.1299	3.000	90	45
24.1776	3.000	0	90
32.2585	3.000	0	none
40.1725	3.000	90	0
48.1198	3.000	45	45
56.2336	3.000	45	none
64.1807	3.000	135	135
72.1615	3.000	135	90
80.2249	3.000	none	90
88.1560	3.000	45	0
96.1868	3.000	0	135
104.2674	3.000	0	none
112.1814	3.000	90	135
120.1793	3.000	0	45
128.1100	3.000	90	45
136.2230	3.000	none	45
144.1708	3.000	0	90
152.1347	3.000	45	135
160.1994	3.000	45	none
168.1292	3.000	45	45
176.1597	3.000	90	0
184.2735	3.000	none	0
192.1710	3.000	45	0
200.2020	3.000	135	135
208.2487	3.000	none	135
216.2131	3.000	135	0
224.1775	3.000	135	90
232.2578	3.000	135	none
