onset	duration	lh_orientation	rh_orientation
0.5702	3.000	0	135
8.2998	3.000	0	none
16.2003	3.000	135	45
24.1776	3.000	90	135
32.2426	3.000	90	none
40.1557	3.000	0	45
48.1700	3.000	135	90
56.2502	3.000	135	none
64.1642	3.000	90	135
72.4455	3.000	45	0
80.2754	3.000	none	0
88.1396	3.000	90	45
96.1710	3.000	135	90
104.2506	3.000	none	90
112.1316	3.000	90	45
120.2128	3.000	0	135
128.2758	3.000	none	135
136.1398	3.000	45	90
144.1881	3.000	135	135
152.1687	3.000	90	0
160.2320	3.000	90	none
168.1462	3.000	45	90
176.2107	3.000	0	0
184.2574	3.000	0	none
192.2214	3.000	0	0
200.1520	3.000	135	90
208.2499	3.000	135	none
216.1301	3.000	45	45
224.1776	3.000	45	0
232.2911	3.000	none	0
