onset	duration	frameidx	videotime	audiotime
0.025	0.042	1	0.040	3.027
0.067	0.042	2	0.080	3.059
0.108	0.050	3	0.120	3.100
0.158	0.150	4	0.160	3.151
0.308	0.050	5	0.200	0.150
0.358	0.050	6	0.240	0.200
0.408	0.025	7	0.280	0.250
0.433	0.050	8	0.320	0.275
0.483	0.050	9	0.360	0.325
0.533	0.025	10	0.400	0.375
0.558	0.050	11	0.440	0.400
0.608	0.025	12	0.480	0.450
0.633	0.050	13	0.520	0.475
0.683	0.050	14	0.560	0.525
0.733	0.025	15	0.600	0.976
0.758	0.050	16	0.640	1.001
0.808	0.025	17	0.680	1.051
0.833	0.050	18	0.720	1.076
0.883	0.050	19	0.760	1.126
0.933	0.025	20	0.800	1.176
0.958	0.050	21	0.840	1.201
1.008	0.025	22	0.880	1.251
1.033	0.050	23	0.920	1.244
1.083	0.050	24	0.960	1.294
1.133	0.025	25	1.000	1.344
1.158	0.050	26	1.040	1.369
1.208	0.025	27	1.080	1.419
1.233	0.050	28	1.120	1.444
1.283	0.050	29	1.160	1.494
1.333	0.025	30	1.200	1.544
1.358	0.050	31	1.240	1.537
1.408	0.025	32	1.280	1.587
1.433	0.050	33	1.320	1.612
1.483	0.050	34	1.360	1.662
1.533	0.025	35	1.400	1.712
1.558	0.050	36	1.440	1.737
1.609	0.025	37	1.480	1.787
1.634	0.050	38	1.520	1.812
1.684	0.050	39	1.560	1.863
1.734	0.025	40	1.600	1.913
1.759	0.050	41	1.640	1.939
1.809	0.025	42	1.680	1.988
1.834	0.050	43	1.720	2.013
1.884	0.050	44	1.760	2.063
1.934	0.025	45	1.800	2.113
1.959	0.050	46	1.840	2.138
2.009	0.025	47	1.880	2.188
2.034	0.050	48	1.920	2.213
2.084	0.050	49	1.960	2.263
2.134	0.025	50	2.000	2.313
2.159	0.050	51	2.040	2.338
2.209	0.025	52	2.080	2.388
2.234	0.050	53	2.120	2.414
2.284	0.050	54	2.160	2.607
2.334	0.025	55	2.200	2.657
2.359	0.050	56	2.240	2.682
2.409	0.025	57	2.280	2.732
2.434	0.050	58	2.320	2.757
2.484	0.050	59	2.360	2.807
2.534	0.025	60	2.400	2.857
2.559	0.050	61	2.440	2.882
2.609	0.025	62	2.480	2.900
2.634	0.050	63	2.520	2.925
2.684	0.050	64	2.560	2.975
2.734	0.025	65	2.600	3.025
2.759	0.050	66	2.640	3.050
2.809	0.025	67	2.680	3.100
2.834	0.050	68	2.720	3.125
2.884	0.050	69	2.760	3.175
2.934	0.025	70	2.800	3.195
2.959	0.050	71	2.840	3.220
3.009	0.025	72	2.880	3.270
3.034	0.050	73	2.920	3.295
3.084	0.050	74	2.960	3.345
3.134	0.025	75	3.000	3.395
3.159	0.050	76	3.040	3.420
3.209	0.025	77	3.080	3.470
3.234	0.050	78	3.120	3.414
3.284	0.050	79	3.160	3.464
3.334	0.025	80	3.200	3.514
3.359	0.050	81	3.240	3.539
3.409	0.025	82	3.280	3.589
3.434	0.050	83	3.320	3.614
3.484	0.050	84	3.360	3.664
3.534	0.025	85	3.400	3.714
3.559	0.050	86	3.440	3.739
3.609	0.025	87	3.480	3.789
3.634	0.050	88	3.520	3.814
3.684	0.050	89	3.560	3.864
3.734	0.025	90	3.600	3.914
3.759	0.050	91	3.640	3.939
3.809	0.025	92	3.680	3.989
3.834	0.050	93	3.720	4.014
3.884	0.050	94	3.760	4.087
3.934	0.025	95	3.800	4.137
3.959	0.050	96	3.840	4.162
4.009	0.025	97	3.880	4.212
4.034	0.050	98	3.920	4.237
4.084	0.050	99	3.960	4.287
4.134	0.025	100	4.000	4.337
4.159	0.050	101	4.040	4.330
4.209	0.025	102	4.080	4.380
4.234	0.050	103	4.120	4.405
4.284	0.050	104	4.160	4.455
4.334	0.025	105	4.200	4.505
4.359	0.050	106	4.240	4.530
4.409	0.025	107	4.280	4.580
4.434	0.050	108	4.320	4.605
4.484	0.050	109	4.360	4.823
4.534	0.025	110	4.400	4.873
4.559	0.050	111	4.440	4.898
4.609	0.025	112	4.480	4.948
4.634	0.050	113	4.520	4.973
