onset	duration	lh_orientation	rh_orientation
0.1291	3.000	90	45
8.1598	3.000	45	135
16.2236	3.000	45	none
24.1718	3.000	45	0
32.1520	3.000	0	45
40.2487	3.000	0	none
48.1964	3.000	135	0
56.1607	3.000	90	0
64.2583	3.000	none	0
72.1556	3.000	0	45
80.1362	3.000	45	90
88.2324	3.000	none	90
96.1640	3.000	135	45
104.1947	3.000	135	0
112.2584	3.000	none	0
120.1554	3.000	90	0
128.1534	3.000	90	90
136.2173	3.000	90	none
144.1476	3.000	90	90
152.1949	3.000	135	135
160.2586	3.000	none	135
168.1561	3.000	0	45
176.1539	3.000	45	135
184.2508	3.000	none	135
192.1654	3.000	0	90
200.1458	3.000	45	90
208.2090	3.000	45	none
216.1898	3.000	0	135
224.1708	3.000	135	135
232.2675	3.000	none	135
