onset	duration	lh_orientation	rh_orientation
0.1557	3.000	90	0
8.2521	3.000	none	0
16.1664	3.000	135	90
24.0987	3.000	90	45
32.2273	3.000	none	45
40.1416	3.000	90	90
48.1563	3.000	45	135
56.2036	3.000	45	none
64.1836	3.000	135	135
72.1315	3.000	135	45
80.1787	3.000	0	0
88.2598	3.000	none	0
96.1560	3.000	0	45
104.2041	3.000	0	0
112.2508	3.000	0	none
120.1653	3.000	90	135
128.1293	3.000	45	45
136.2424	3.000	none	45
144.1575	3.000	45	0
152.1548	3.000	0	90
160.2512	3.000	0	none
168.1493	3.000	0	90
176.1638	3.000	90	135
184.2765	3.000	none	135
192.1404	3.000	45	45
200.1882	3.000	135	135
208.2682	3.000	none	135
216.1992	3.000	135	0
224.1634	3.000	45	90
232.2435	3.000	none	90
