onset	duration	frameidx	videotime	audiotime
0.025	0.033	1	0.040	3.016
0.058	0.033	2	0.080	3.051
0.092	0.042	3	0.120	3.084
0.133	0.175	4	0.160	3.117
0.308	0.042	5	0.200	0.150
0.350	0.050	6	0.240	0.191
0.400	0.050	7	0.280	0.241
0.450	0.025	8	0.320	0.291
0.475	0.050	9	0.360	0.316
0.525	0.025	10	0.400	0.366
0.550	0.050	11	0.440	0.391
0.600	0.050	12	0.480	0.441
0.650	0.025	13	0.520	0.491
0.675	0.050	14	0.560	0.516
0.725	0.025	15	0.600	0.566
0.750	0.050	16	0.640	0.967
0.800	0.050	17	0.680	1.017
0.850	0.025	18	0.720	1.067
0.875	0.050	19	0.760	1.093
0.925	0.025	20	0.800	1.142
0.950	0.050	21	0.840	1.167
1.000	0.050	22	0.880	1.217
1.050	0.025	23	0.920	1.267
1.075	0.050	24	0.960	1.301
1.125	0.025	25	1.000	1.351
1.150	0.050	26	1.040	1.376
1.200	0.050	27	1.080	1.426
1.250	0.025	28	1.120	1.476
1.275	0.050	29	1.160	1.501
1.325	0.025	30	1.200	1.551
1.350	0.050	31	1.240	1.576
1.400	0.050	32	1.280	1.634
1.450	0.025	33	1.320	1.684
1.475	0.050	34	1.360	1.709
1.525	0.025	35	1.400	1.759
1.550	0.050	36	1.440	1.784
1.600	0.050	37	1.480	1.834
1.650	0.025	38	1.520	1.884
1.675	0.050	39	1.560	1.909
1.725	0.025	40	1.600	1.880
1.750	0.050	41	1.640	1.905
1.800	0.050	42	1.680	1.955
1.850	0.025	43	1.720	2.005
1.875	0.050	44	1.760	2.030
1.925	0.025	45	1.800	2.080
1.950	0.050	46	1.840	2.105
2.000	0.050	47	1.880	2.155
2.050	0.025	48	1.920	2.205
2.075	0.050	49	1.960	2.230
2.125	0.025	50	2.000	2.280
2.150	0.050	51	2.040	2.305
2.200	0.050	52	2.080	2.355
2.250	0.025	53	2.120	2.405
2.275	0.050	54	2.160	2.430
2.325	0.025	55	2.200	2.543
2.350	0.050	56	2.240	2.568
2.400	0.050	57	2.280	2.618
2.450	0.025	58	2.320	2.668
2.475	0.050	59	2.360	2.693
2.525	0.025	60	2.400	2.743
2.550	0.050	61	2.440	2.768
2.600	0.050	62	2.480	2.818
2.650	0.025	63	2.520	2.876
2.675	0.050	64	2.560	2.901
2.725	0.025	65	2.600	2.951
2.750	0.050	66	2.640	2.976
2.801	0.050	67	2.680	3.026
2.851	0.025	68	2.720	3.076
2.876	0.050	69	2.760	3.101
2.926	0.025	70	2.800	3.151
