onset	duration	lh_orientation	rh_orientation
0.1531	3.000	0	90
8.2672	3.000	0	none
16.1975	3.000	0	90
24.1624	3.000	135	45
32.2757	3.000	135	none
40.1730	3.000	90	0
48.1373	3.000	90	45
56.2510	3.000	none	45
64.1815	3.000	0	45
72.1459	3.000	90	45
80.2423	3.000	none	45
88.1732	3.000	0	45
96.1710	3.000	135	90
104.2509	3.000	none	90
112.2153	3.000	135	135
120.1796	3.000	45	135
128.2433	3.000	45	none
136.2738	3.000	135	0
144.1544	3.000	90	135
152.2853	3.000	90	none
160.1992	3.000	90	0
168.1805	3.000	45	0
176.2767	3.000	none	0
184.1743	3.000	45	135
192.1386	3.000	45	90
200.2190	3.000	45	none
208.2161	3.000	0	135
216.1471	3.000	45	90
224.1947	3.000	135	0
232.2920	3.000	none	0
