onset	duration	lh_orientation	rh_orientation
0.1643	3.000	45	45
8.2937	3.000	none	45
16.1574	3.000	135	90
24.1216	3.000	90	90
32.2535	3.000	90	none
40.2164	3.000	135	0
48.1646	3.000	90	0
56.3278	3.000	none	0
64.2249	3.000	0	135
72.1223	3.000	90	45
80.2703	3.000	90	none
88.2006	3.000	0	90
96.1651	3.000	0	45
104.3111	3.000	none	45
112.1756	3.000	45	0
120.1566	3.000	45	0
128.2864	3.000	none	0
136.1848	3.000	0	45
144.1823	3.000	0	90
152.2950	3.000	none	90
160.1760	3.000	135	45
168.1742	3.000	90	0
176.2874	3.000	none	0
184.1684	3.000	45	135
192.1663	3.000	45	135
200.3014	3.000	45	none
208.1766	3.000	90	135
216.2080	3.000	135	135
224.2879	3.000	135	none
232.1852	3.000	135	90
