onset	duration	lh_orientation	rh_orientation
0.1655	3.000	135	90
8.3124	3.000	135	none
16.1765	3.000	0	45
24.1577	3.000	45	135
32.2720	3.000	45	none
40.1693	3.000	135	90
48.1668	3.000	0	90
56.2962	3.000	none	90
64.1771	3.000	0	45
72.1421	3.000	90	45
80.2891	3.000	90	none
88.1698	3.000	90	0
96.2002	3.000	135	0
104.1477	3.000	45	0
112.2618	3.000	45	none
120.2084	3.000	0	135
128.1562	3.000	45	135
136.3194	3.000	none	135
144.1837	3.000	45	0
152.1476	3.000	90	45
160.2953	3.000	none	45
168.1928	3.000	90	0
176.1738	3.000	135	45
184.2715	3.000	none	45
192.1690	3.000	90	90
200.1658	3.000	0	90
208.2951	3.000	none	90
216.1593	3.000	45	135
224.1908	3.000	135	135
232.3065	3.000	none	135
